Tweet,sentimen
Aliran Modal Asing Picu Lonjakan IHSG.,1
"Pasar saham Indonesia berhasil menghentikan penurunan yang diperoleh selama dua hari di sesi Rabu,  dengan penurunan hampir 50 poin atau 0,8 percent.",1
Jumlah Investor Pasar Modal Melonjak Hingga 62%,1
"Ada Perang Dagang AS-China, IHSG Diprediksi Alami Koreksi Sampai Akhir Bulan",0
Berapa sih outfit yang kalian keluarkan jika dibelikan saham? 😁,1
KALO MAU BELAJAR INVESTASI PASAR SAHAM DIMANA YA!!! MOHON INFONYA!!!!,1
"Indeks Harga Saham Gabungan (IHSG) berpotensi melanjutkan pelemahannya pada perdagangan hari ini dan bergerak di kisaran 5.907-6.077. Pada perdagangan sebelumnya, IHSG ditutup melemah signifikan 1 persen di level 6.000.",0
"Indeks Harga Saham Gabungan (IHSG) Bursa Efek Indonesia (BEI),   Kamis (4/7), berpotensi menguat meskipun ada keterbatasan sentimen positif.",1
Bursa Efek Indonesia (BEI) bakal mengawasi emiten-emiten yang terus merugi. BEI masih mempelajari lebih lanjut dan akan memanggil perusahaan-perusahaan terbuka yang belum mencetak untung.,1
"Lambannya perundingan perdagangan antara Amerika Serikat dengan Cina di Beijing memberi sentimen negatif bagi pelemahan mata uang regional , termasuk rupiah.",0
Ini data IHSG month to month selama 10 tahun. Nah itulah kenapa tidak ada salahnya naikan cash dulu sembari reaktif menunggu fenomena window dressing.,1
suka kayak sumringah sendiri kalau dengar suara suara mistis dari dalam ATM. tarik dana boleh asal jangan belanja kelebihan dana karena kamu juga perlu investasi reksadana ,1
"Gagal Balik Arah, IHSG Tergelincir ke 6.273",0
Bursa efek Indonesia telah terjadi musibah,0
"Semua turun harga,  ini daftar 10 saham LQ45 dengan PER terkecil (4 April 2018)",1
"Bursa Efek Indonesia, muka muka orang bingung",0
Rencana perampingan satuan lot saham masih jauh dari implementasi,0
BEI Ancang-Ancang Suspensi Saham First Media Jika Izin Dicabut Kominfo ,0
BEI Sebut IHSG Alami Penuruan Selama Sepekan,0
"Presiden JokoWidodo (jokowi) secara mendadak meninjau BursaEfekIndonesia (BEI),  di Jakarta",1
"Akun BEI sampaikan kabar baik,  SID capai rekor! ",1
Nabung saham yuk.. alternate Tabungan di Bank wkwk... ,1
Selalu #happy kalau main ke bursaefekindonesia karena masih bisa diterima sebagai bagian dari…,1
"Awal Tahun, IHSG Ditutup Anjlok 0,4%",0
"Kenapa saham AGRO dan BUMI turun lagi, semoga besok bisa terbang kembali",1
KontanNews Investor lokal kian mendominasi bursa,1
Potensi Saham Syariah Dorong Pembiayaan Infrastruktur,1
BEI lelang sembilan kursi anggota bursa ,1
"BEI Buka pas Pilkada Serentak 2018,  IHSG Dibuka naik 0,12%",1
Jokowi Bakal Panggil Perusahaan Besar untuk Melantai di BEI,1
BursaEfekIndonesia mari mengubah kebiasaan menabung menjadi kebiasaan berinvestasi,1
Transaksi Harian Bursa Efek Indonesia Cetak Rekor,1
Udah real investor nih meskipun masih kecil-kecilan 😂😂😂,1
BEI Sebut Pangsa Saham Syariah Mendominasi di Indonesia,1
BEI Gencarkan Kampanye Investasi Pasar Uang,1
Kalian jujur-jujur amat sih 😂😂 See kamu sangat soon gengs,1
BEI Ditetapkan Jadi Tempat Pendaftaran Tax Amnesty,1
Diperkirakan Hari Ini Indeks Masih Tetap Kokoh,1
"Terimakasih buat BursaEfekIndonesia,   relitance dan kampus STIE Tri Bakhti untuk penjelasan Investasi Saham,  Pasar Modal, dan lain lain hari ini :)",1
rata rata harga saham pagi ini dibuka GAP,1
BEI Catat 959 Investor Baru Masuk ke Makassar,1
OJK target papan khusus UMKM meluncur akhir 2016,1
tanam saham yuk wa 📝📈,1
Punya Saham itu keren lah :) ,1
"""Gue juga pernah memperingatkan bermain saham itu tidak cuma menguntungkan tetapi juga punya risiko yang tinggi",0
BEI target bangun 230 gerai investasi,1
Bursa Efek Indonesia (BEI Siapkan UMKM Melantai di Bursa ,1
Kalo kata mrshananto.. Tujuan kamu apa?! 😂,0
BursaEfekIndonesia BEI Targetkan 35 Emiten Listing di BEI pada 2015,1
Congratz untuk bursaefekindonesia yang dapat penghargaan sebagai *lupa* tapi yang paling stabil dan stabil se asia pasifik..,1
Udah dapat ilmu tambahan dapat bikisan juga😁😚😝 Terimakasih BursaEfekIndonesia,1
Bursa Lagi hijau-hijau,1
Pembukaan IHSG pagi ini turun sebesar -8.084 (-0.15%) ke level 5515.206,0
(MIRA) telah membeli saham dalam PT Mitra Alfa DInamika (MAD),1
Berburu Saham Diskon di Lantai Bursa,1
thanksyou financial club MM UGM buat sekolah pasar modalnya,1
"Pengalaman banget kemarin ke sini #BursaEfekIndonesia (dengan Nilam, adik, and 8 others)",1
"Mau membeli sebagian dari perusahaan sekelas Astra International Tbk. Cukup dengan dana sekitar Rp800.000, Mudah kan? ",1
"Ikut spm sama firdaus, game trading saja masa kalah sama dia😣",0
Inevst investasi kawan !!!,1
Bisa tidak ya kerja di Bursa Efek Indonesia 😂😂😂 ,1
"Walaupun nge""sebal""in tetapi lumayan juga dapat pngetahuan baru",1
Sekarang kita mainannya saham :D ,1
gemilang investa bursa...ada edukasinya juga...bagi yang mau belajar jadi investor tonton saja...,1
"Investasi itu tidak mengenal waktu, bisa kapan saja. Tapi yang jelas harus segera dilaksanakan untuk menambah penghasilanmu! 😊Info lebih lanjut mengenai pemberi pinjaman di Modalku, kunjungi website kami",1
INVESTASI PALING MENGUNTUNGKAN,1
"Mungkin kamu takut berinvestasi saham karena belum punya banyak modal, padahal berinvestasi itu enggak selalu butuh modal banyak lah. Ada yang lebih penting dari hanya sekadar modal banyak untuk siap berinvestasi saham, seperti kesehatan keuanganmu dan kesiapan untuk belajar.",1
"Sebagai pengusaha, anda tidak perlu melakukan apa yang orang beri tahu pada anda. Anda hanya perlu melakukan apa yang tepat untuk anda ~ Ramit Sethi",1
Kunci utama investor pemula agar terhindar dari investasi bodong adalah pahami semua regulasi dalam berinvestasi.,1
"Ga jarang gue dengar pernyataan kayak teman kita satu ini di grabid kalau rumah memang salah satu investasi paling aman dan menguntungkan katanya, tapi kalau teman teman cari yang likuid, ini mungkin bukan opsi yang tepat lah. 🤔 . Yuk cek obrolannya di fomo .",0
Rata-rata perusahaan go publik yang kinerjanya mantap.,1
"Dalam jangka panjang, kinerja perusahaanlah yang menentukan harga saham. ",1
Selain mengetahui keuntungan dalam investasi saham sebaiknya investor juga mengetahui risiko buruk apa saja yang bisa dihadapi oleh investor.,1
"Kerek Investasi, Bos BKPM Bakal Sikat Tukang Palak Dan Hantu-hantu Berdasi",1
" seru sih kalau yang dulu beli sepeda mahal, sekarang harganya jadi dua kali lipet.",0
"Harga Sebungkus Rokok, bisa INVESTASI ",1
Pemerintah melalui Kemenko Bidang Kemaritiman dan Investasi menegaskan tetap akan melanjutkan proyek infrastruktur prioritas,1
"Ini dengarkan investasi, ada yang sisihin gaji sampai 70%investasi. 30% lainnya biaya hidup, katanya makan masak diri tempe tahu. Gw sih tidak sampai begitu” amat ya. Pengen tajir cuma tidak mw sampai derita di awal begitu. Pake sakit kurang gizi yang ada.",0
"Di Hadapan Investor China, Dubes Djauhari Promosi Potensi Investasi Indonesia Pasca Covid-19",1
"Di Tengah Pandemi Covid BKPM Tegaskan, Tak Ada Investor Kabur Dari Indonesia",1
